index,title,url,site,category,language,course_type,subcategory,intro,duration_seconds,rating
897,Learning to Teach Online,https://www.coursera.org/learn/teach-online,Coursera,social sciences,English,Course,education,Are you an educator? Have you ever wanted to understand more about how to design your class to make better use of educational technology – whether fully online or in blended contexts? Would you like to learn from those who have extensive practical experience with online technologies? ,61200,4.7
898,Introduction to Deep Learning & Neural Networks with Keras,https://www.coursera.org/learn/introduction-to-deep-learning-with-keras,Coursera,data science,English,Course,machine learning,"Looking to start a career in Deep Learning? Look no further. This course will introduce you to the field of deep learning and help you answer many questions that people are asking nowadays, like what is deep learning, and how do deep learning models compare to artificial neural networks? You will learn about the different deep learning models and build your first deep learning model using the Keras library.",28800,4.7
899,Network Security & Database Vulnerabilities ,https://www.coursera.org/learn/network-security-database-vulnerabilities,Coursera,information technology,English,Course,security,"This course gives you the background needed to understand basic network security.  You will learn the about Local Area Networks, TCP/IP, the OSI Framework and routing basics.  You will learn how networking affects security systems within an organization.  You will learn the network components that guard an organization from cybersecurity attacks.",50400,4.7
900,Digital Transformation,https://www.coursera.org/learn/bcg-uva-darden-digital-transformation,Coursera,business,English,Course,leadership and management,"Digital transformation is a hot topic--but what exactly is it and what does it mean for companies? In this course, developed at the Darden School of Business at the University of Virginia, and led by top-ranked Darden faculty and Boston Consulting Group global management experts, we talk about digital transformation in two ways. First we discuss the pace of change and the imperative it creates for businesses. Next we provide the context for this transformation and what it takes to win in the digital age. Then we walk through BCG's proprietary framework, which helps you identify key areas to digitize, including strategy, core processes, and technology.",50400,4.8
901,Project Management: Foundations and Initiation,https://www.coursera.org/learn/project-management-foundations-initiation,Coursera,business,English,Course,leadership and management,"Project Management: Foundations and Initiation provides students the foundational knowledge of how engineering projects are managed and initiated. Project managers are responsible for project scope, stakeholder management, effective communication, and team leadership. In this course, you will develop introductory skills needed to manage traditional engineering projects, along with tools needed to engage stakeholders and build diverse teams.",82800,4.7
902,Responsive Web Design in Adobe XD,https://www.coursera.org/learn/responsive-web-design-adobe-xd,Coursera,computer science,English,Course,design,"Responsive Web Design in Adobe XD is the sixth course in a program that will equip you with the skills you need to apply to entry-level jobs in user experience (UX) design. In this course, you will design a responsive website using Adobe XD, a popular design tool. You will complete the design process from beginning to end: empathizing with users, defining their pain points, coming up with ideas for design solutions, creating wireframes and prototypes, and testing designs to get feedback. By the end of this course, you will have a new design project to include in your professional UX portfolio. ",151200,4.8
903,Marketing Digital,https://www.coursera.org/learn/estrategia-marketing-digital,Coursera,business,Portuguese (Brazilian),Course,marketing,"Aprenda a desenvolver a estratégia de marketing digital para a sua empresa ou startup, nesse curso você irá aprender sobre os principais pontos do Marketing como ROI, SEO, SEM, Testes AB e como gerenciar o funil de conversão e também como usar plataformas como Google adwords e Analytics, Facebook Ads e Email Marketing.",57600,4.8
904,Using Python to Interact with the Operating System,https://www.coursera.org/learn/python-operating-system,Coursera,information technology,English,Course,operations,"By the end of this course, you’ll be able to manipulate files and processes on your computer’s operating system. You’ll also have learned about regular expressions -- a very powerful tool for processing text files -- and you’ll get practice using the Linux command line on a virtual machine. And, this might feel like a stretch right now, but you’ll also write a program that processes a bunch of errors in an actual log file and then generates a summary file. That’s a super useful skill for IT Specialists to know.",90000,4.7
905,The Arts and Science of Relationships: Understanding Human Needs,https://www.coursera.org/learn/human-needs,Coursera,personal development,English,Course,personal development,This course provides an introduction to:,111600,4.5
906,"Make the Sale: Build, Launch, and Manage E-commerce Stores",https://www.coursera.org/learn/make-the-sale,Coursera,business,English,Course,marketing,"Make the Sale: Build, Launch, and Manage E-commerce Stores is the sixth of seven courses in the Google Digital Marketing & E-commerce Certificate. This course explores how businesses and individuals sell products online, including using popular platforms like Shopify.  You’ll go through the process of creating a mock e-commerce store. To do this, you’ll build a Shopify store, add the necessary information, and create product listings. You’ll explore how to reach customers online through e-commerce customer outreach methods like advertisements and campaigns.",82800,4.8
907,Diversity and Inclusion for HR Professionals,https://www.coursera.org/learn/diversity-and-inclusion-for-hr-professionals,Coursera,business,English,Course,leadership and management,"Welcome to Diversity & Inclusion for HR Professionals. In this course we will review the changing landscape of the workplace and discuss the current change drivers that make Diversity and Inclusion an important focus for your organization. We will explore strategies for creating an inclusive climate and a sense of belonging, and how bias and microaggressions can be mitigated. Finally, we will explore the business case for Diversity and Inclusion strategies, and you’ll have the opportunity to develop a DEIB tailored to your organization and situation.",57600,4.7
908,Instructional Methods in Health Professions Education,https://www.coursera.org/learn/instructional-methods-education,Coursera,health,English,Course,health,"This course provides those involved in educating members of the health professions an asynchronous, interdisciplinary, and interactive way to obtain, expand, and improve their teaching skills. These skills can then be applied within their own professional context, with a variety of learners, extending across many stages.",72000,4.7
909,Schizophrenia,https://www.coursera.org/learn/schizophrenia,Coursera,health,English,Course,psychology,"The main goal of this class is to gain an introductory exposure to the nature of the psychiatric disorder known as schizophrenia as revealed by the scientific method. We will discuss a broad range of findings from the scientific investigation of biological and psychological factors related to schizophrenia and its treatment. More specifically we will learn about: (1)  key symptomatic features through discussion and enactments of interviews with actors portraying many of the cardinal features of the illness, (2) what brain imaging studies (MRI and fMRI) and neurochemistry have taught us about the neuroscience of the disorder, (3) scientific psychological data and theories concerning cognition, emotion and behavior in schizophrenia, and (4) current, evidence-based somatic and psychosocial approaches to treatment. A brief historical overview of the recent emergence of the psychiatric category of schizophrenia will be presented as well.",18000,4.8
910,Inclusive Leadership: The Power of Workplace Diversity,https://www.coursera.org/learn/inclusiveleadership,Coursera,social sciences,English,Course,education,"Do you want to promote diversity and inclusion? This course will empower and equip you to develop inclusive cultures where everyone feels valued and respected. You will learn how highly inclusive leaders from around the world use processes of social influence to interact effectively with individuals from a wide variety of backgrounds. You will deepen your understanding of the benefits of diversity. And, you will explore a wealth of perspectives and practices to help you to reap those benefits. ",75600,4.9
911,Managing the Company of the Future,https://www.coursera.org/learn/company-future-management,Coursera,business,English,Course,leadership and management,The aim of the course is to provide you with a comprehensive framework for understanding both the traditional principles of management inside companies today as well as the alternative principles that are becoming increasingly important. It provides both theoretical and practical perspectives on the nature of management in today’s organisations.,43200,4.8
912,Foundations of Business Strategy,https://www.coursera.org/learn/uva-darden-foundations-business-strategy,Coursera,business,English,Course,business,"Develop your ability to think strategically, analyze the competitive environment, and recommend firm positioning and value creation. In this course, developed at the Darden School of Business at the University of Virginia, top-ranked faculty will help you explore the underlying theory and frameworks that provide the foundations of a successful business strategy and provide the tools you need to understand that strategy: SWOT, Competitor, Environmental, Five Forces, and Capabilities Analyses, as well as Strategy Maps.",32400,4.8
913,Introduction to Google SEO,https://www.coursera.org/learn/search-engine-optimization,Coursera,business,English,Course,marketing,"Ever wonder how major search engines such as Google, Bing and Yahoo rank your website within their searches? Or how content such as videos or local listings are shown and ranked based on what the search engine considers most relevant to users? Welcome to the world of Search Engine Optimization (SEO). This course is the first within the SEO Specialization and it is intended to give you a taste of SEO with some fun practices to get seen in Google.",46800,4.6
914,Implant Dentistry,https://www.coursera.org/learn/implant-dentistry,Coursera,health,English,Course,science,"Implant Dentistry is one of the most dynamic and rapidly developing areas within oral health care. In spite of increasing popularity of implantology, it is a relatively new discipline within dental education and remains limited to post-graduate courses offered by dental schools in many parts of the world today.",97200,4.8
915,Healing with the Arts,https://www.coursera.org/learn/healing-with-the-arts,Coursera,personal development,English,Course,personal development,"Through art projects—including visual arts, dance, writing, and music—along with spiritual practices and guided imagery, Healing With the Arts gives you the tools to heal what you need to heal in your life: physical, mental, emotional, and spiritual.",43200,4.6
916,Introduction to Data Science in Python,https://www.coursera.org/learn/python-data-analysis,Coursera,data science,English,Course,data analysis,"This course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library. The course will introduce data manipulation and cleaning techniques using the popular python pandas data science library and introduce the abstraction of the Series and DataFrame as the central data structures for data analysis, along with tutorials on how to use functions such as groupby, merge, and pivot tables effectively. By the end of this course, students will be able to take tabular data, clean it, manipulate it, and run basic inferential statistical analyses. ",122400,4.5
917,People Analytics,https://www.coursera.org/learn/wharton-people-analytics,Coursera,business,English,Course,leadership and management,"People analytics is a data-driven approach to managing people at work. For the first time in history, business leaders can make decisions about their people based on deep analysis of data rather than the traditional methods of personal relationships, decision making based on experience, and risk avoidance. In this brand new course, three of Wharton’s top professors, all pioneers in the field of people analytics, will explore the state-of-the-art techniques used to recruit and retain great people, and demonstrate how these techniques are used at cutting-edge companies. They’ll explain how data and sophisticated analysis is brought to bear on people-related issues, such as recruiting, performance evaluation, leadership, hiring and promotion, job design, compensation, and collaboration. This course is an introduction to the theory of people analytics, and is not intended to prepare learners to perform complex talent management data analysis. By the end of this course, you’ll understand how and when hard data is used to make soft-skill decisions about hiring and talent development, so that you can position yourself as a strategic partner in your company’s talent management decisions. This course is intended to introduced you to Organizations flourish when the people who work in them flourish. Analytics can help make both happen. This course in People Analytics is designed to help you flourish in your career, too.",28800,4.6
918,Six Sigma Principles ,https://www.coursera.org/learn/six-sigma-principles,Coursera,business,English,Course,business,"This course is for you if you are looking to learn more about Six Sigma or refresh your knowledge of the basic components of Six Sigma and Lean. Six Sigma skills are widely sought by employers both nationally and internationally. These skills have been proven to help improve business processes and performance. This course will introduce you to the purpose of Six Sigma and its value to an organization. You will learn about the basic principles of Six Sigma and Lean. Your instructors will introduce you to, and have you apply, some of the tools and metrics that are critical components of Six Sigma. This course will provide you with the basic knowledge of the principles, roles, and responsibilities of Six Sigma and Lean. ",46800,4.6
919,"Excel/VBA for Creative Problem Solving, Part 1",https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-1,Coursera,computer science,English,Course,computer science,"""Excel/VBA for Creative Problem Solving, Part 1"" is aimed at learners who are seeking to augment, expand, optimize, and increase the efficiency of their Excel spreadsheet skills by tapping into the powerful programming, automation, and customization capabilities available with Visual Basic for Applications (VBA).  ",72000,4.8
920,Fundamentals of Visualization with Tableau,https://www.coursera.org/learn/data-visualization-tableau,Coursera,data science,English,Course,data analysis,"In this first course of this specialization, you will discover what data visualization is, and how we can use it to better see and understand data. Using Tableau, we’ll examine the fundamental concepts of data visualization and explore the Tableau interface, identifying and applying the various tools Tableau has to offer. By the end of the course you will be able to prepare and import data into Tableau and explain the relationship between data analytics and data visualization. This course is designed for the learner who has never used Tableau before, or who may need a refresher or want to explore Tableau in more depth. No prior technical or analytical background is required. The course will guide you through the steps necessary to create your first visualization from the beginning based on data context, setting the stage for you to advance to the next course in the Specialization.",36000,4.5
921,Operational Research for Humanitarians,https://www.coursera.org/learn/research-humanitarian,Coursera,health,English,Course,research,"Evidence is central to good decision-making both in the humanitarian sector and beyond. Every day, a vast amount of evidence is generated that is relevant to humanitarian actors, much of it through research by academics and practitioners. This evidence can be incredibly valuable. It can help us better understand a situation and make humanitarian action more effective and accountable. The difficulty comes with understanding what evidence is relevant to our circumstances, where to find it, and how to assess its quality.",57600,4.8
922,Introduction to Probability and Data with R,https://www.coursera.org/learn/probability-intro,Coursera,data science,English,Course,data analysis,"This course introduces you to sampling and exploring data, as well as basic probability theory and Bayes' rule. You will examine various types of sampling methods, and discuss how such methods can impact the scope of inference. A variety of exploratory data analysis techniques will be covered, including numeric summary statistics and basic data visualization. You will be guided through installing and using R and RStudio (free statistical software), and will use this software for lab exercises and a final project. The concepts and techniques in this course will serve as building blocks for the inference and modeling courses in the Specialization.",50400,4.7
923,Business Model Innovation,https://www.coursera.org/learn/business-model,Coursera,business,English,Course,business,"Innovation goes beyond technology, products and processes. The new competitive landscape requires another, more holistic and strategic perspective, based on the concept of business models.",50400,4.7
924,Data-Driven Decisions with Power BI,https://www.coursera.org/learn/data-driven-decisions-with-power-bi,Coursera,business,English,Course,business,"New Power BI users will begin the course by gaining a conceptual understanding of the Power BI desktop application and the Power BI service. Learners will explore the Power BI interface while learning how to manage pages and understand the basics of visualizations. Learners will engage in numerous hands-on experiences to discover how to import, connect, clean, transform, and model their own data in the Power BI desktop application. Learners will investigate reports, learn about workspaces, and practice viewing, creating, and publishing reports to the Power BI service. Finally, learners will become proficient in the creation and utilization dashboards.",50400,4.2
925,Greek and Roman Mythology,https://www.coursera.org/learn/mythology,Coursera,arts and humanities,English,Course,humanities,"Myths are traditional stories that have endured over a long time. Some of them have to do with events of great importance, such as the founding of a nation. Others tell the stories of great heroes and heroines and their exploits and courage in the face of adversity. Still others are simple tales about otherwise unremarkable people who get into trouble or do some great deed. What are we to make of all these tales, and why do people seem to like to hear them? This course will focus on the myths of ancient Greece and Rome, as a way of exploring the nature of myth and the function it plays for individuals, societies, and nations. We will also pay some attention to the way the Greeks and Romans themselves understood their own myths. Are myths subtle codes that contain some universal truth? Are they a window on the deep recesses of a particular culture? Are they a set of blinders that all of us wear, though we do not realize it? Or are they just entertaining stories that people like to tell over and over? This course will investigate these questions through a variety of topics, including the creation of the universe, the relationship between gods and mortals, human nature, religion, the family, sex, love, madness, and death.",86400,4.8
926,Getting Started with Git and GitHub,https://www.coursera.org/learn/getting-started-with-git-and-github,Coursera,computer science,English,Course,software development,"Get started with Git and GitHub in this self-paced, introductory course! You’ll become familiar with collaborative version control and popular Git platforms. Collaboration and social coding are crucial parts of contemporary Software Engineering practices and the DevOps culture. ",28800,4.6
927,Agile Meets Design Thinking,https://www.coursera.org/learn/uva-darden-getting-started-agile,Coursera,computer science,English,Course,design,"Despite everyone's good intentions, hard work and solid ideas, too many teams end up creating products that no one wants, no one can use, and no one buys. But it doesn't have to be this way. Agile and design thinking offer a different--and effective--approach to product development, one that results in valuable solutions to meaningful problems. In this course, you’ll learn how to determine what's valuable to a user early in the process--to frontload value--by focusing your team on testable narratives about the user and creating a strong shared perspective. ",32400,4.7
928,Google SEO Fundamentals,https://www.coursera.org/learn/seo-fundamentals,Coursera,business,English,Course,marketing,"Gain an understanding of search engine algorithms and how they affect organic search results and websites. Building on this knowledge, you’ll learn the key elements for creating an effective SEO strategy, including how to select keywords and perform keyword research; consumer psychology and search behavior; and how to conduct on-page SEO analysis to identify opportunities to improve a website’s search optimization.",104400,4.8
929,Introduction to Cyber Attacks,https://www.coursera.org/learn/intro-cyber-attacks,Coursera,computer science,English,Course,security,"This course provides learners with a baseline understanding of common cyber security threats, vulnerabilities, and risks. An overview of how basic cyber attacks are constructed and applied to real systems is also included. Examples include simple Unix kernel hacks, Internet worms, and Trojan horses in software utilities. Network attacks such as distributed denial of service (DDOS) and botnet- attacks are also described and illustrated using real examples from the past couple of decades. ",64800,4.7
930,Introduction to Agile Development and Scrum,https://www.coursera.org/learn/agile-development-and-scrum,Coursera,computer science,English,Course,software development,"After successfully completing this course, you will be able to embrace the Agile concepts of adaptive planning, iterative development, and continuous improvement - resulting in early deliveries and value to customers. This course will benefit anyone who wants to get started with working the Agile way. It is particularly suitable for IT practitioners such as software developers, development managers, project managers, product managers, and executives.",32400,4.9
931,Excel Fundamentals for Data Analysis,https://www.coursera.org/learn/excel-data-analysis-fundamentals,Coursera,business,English,Course,business,"As data becomes the modern currency, so the ability to analyse the data quickly and accurately has become of paramount importance. Excel with its extraordinarily broad range of features and capabilities is one of the most widely used programs for doing this. In the first course of our Excel Skills for Data Analysis and Visualization Specialization, you will learn the fundamentals of Excel for data analysis. When you have completed the course, you will be able to use a range of Excel tools and functions to clean and prepare data for analysis; automate data analysis with the help of Named Ranges and Tables; and use logical and lookup functions to transform, link and categorise data.",54000,4.8
932,Creative Thinking: Techniques and Tools for Success,https://www.coursera.org/learn/creative-thinking-techniques-and-tools-for-success,Coursera,personal development,English,Course,personal development,"In today’s ever-growing and changing world, being able to think creatively and innovatively are essential skills. It can sometimes be challenging to step back and reflect in an environment which is fast paced or when you are required to assimilate large amounts of information. Making sense of or communicating new ideas in an innovative and engaging way, approaching problems from fresh angles, and producing novel solutions are all traits which are highly sought after by employers.",68400,4.7
933,Mastering Final Cut Pro,https://www.coursera.org/learn/mastering-final-cut-pro,Coursera,business,English,Course,business,"This course unravels the post-production world for editors. Students will dive into the key features of Apple’s Final Cut Pro software for Video and Audio Editing and learn elements for creating professional videos with the use of transitions and effects, titles and motion graphics, color correction, 360 Video and Media Management.",144000,4.5
934,Introduction to Public Speaking,https://www.coursera.org/learn/public-speaking,Coursera,business,English,Course,business,This course offers a proven framework for crafting and delivering impactful presentations.,50400,4.8
935,Children's Human Rights - An Interdisciplinary Introduction,https://www.coursera.org/learn/childrens-rights,Coursera,social sciences,English,Course,law,"Drawing on the contributions of several academic disciplines including law, psychology, sociology, history, educational and health sciences, economy and anthropology, an interdisciplinary approach guides the student into a selection of critical issues concerning children’s rights. Participants will gain insight relative to the development of this specific human rights category, as well as to the evolution of the challenges faced by children over time and society’s efforts to respond. Successful international strategies and programs promoting children’s rights will be highlighted, as well as the role of key actors involved in international organizations working in this field. This open online course provides an overview of the most important features of children’s human rights. A central portion of the MOOC will consist of a presentation of the international and regional standards on children’s rights and the related international and regional judicial and quasi-judicial bodies designed to ensure their implementation. ",36000,4.7
936,Data-driven Decision Making,https://www.coursera.org/learn/decision-making,Coursera,data science,English,Course,data analysis,"Welcome to Data-driven Decision Making. In this course, you'll get an introduction to Data Analytics and its role in business decisions. You'll learn why data is important and how it has evolved. You'll be introduced to “Big Data” and how it is used. You'll also be introduced to a framework for conducting Data Analysis and what tools and techniques are commonly used. Finally, you'll have a chance to put your knowledge to work in a simulated business setting.",32400,4.6
937,Cost and Economics in Pricing Strategy,https://www.coursera.org/learn/uva-darden-bcg-pricing-strategy-cost-economics,Coursera,business,English,Course,marketing,"How much should you charge for your products and services? Traditionally, businesses have answered this question based on the cost to produce or provide their goods and services. This course shows you the economic factors behind pricing based on cost and the pros and cons of a cost-based pricing approach. Developed at the Darden School of Business at the University of Virginia, and led by top-ranked Darden faculty and Boston Consulting Group global pricing experts, the course provides the practical and research-based models and methods you need to set prices that maximize your profits. ",43200,4.8
938,Aspectos básicos del diseño de la experiencia del usuario,https://www.coursera.org/learn/aspectos-basicos-del-diseno-de-la-experiencia-del-usuario-ux,Coursera,computer science,Spanish,Course,design,"Aspectos básicos del diseño de la experiencia del usuario (UX) es el primero de una serie de siete cursos mediante los cuales podrás acceder a las habilidades que necesitarás para postularte a trabajos de nivel básico relacionados con el diseño de UX. Los diseñadores de UX se centran en las interacciones de las personas con distintos productos, como sitios web, aplicaciones móviles y objetos físicos. Los diseñadores de UX hacen que esas interacciones cotidianas sean fáciles de usar, agradables y accesibles. Algunas de las tareas de un diseñador de UX de nivel básico podrían ser empatizar con los usuarios, definir las dificultades a las que se enfrentan, proponer soluciones de diseño, crear esquemas, prototipos y maquetas, y probar diseños para obtener comentarios. ",72000,4.9
939,Nutrición y obesidad: control de sobrepeso,https://www.coursera.org/learn/nutricion-obesidad-sobrepeso,Coursera,health,Spanish,Course,health,"En este curso, ofrecido por la UNAM, reconocerás una herramienta para evitar, manejar y controlar el sobrepeso y la obesidad, al destacar la importancia del autocuidado y el apoyo familiar en el manejo de este padecimiento. Te mostrará el verdadero valor de los alimentos como compañeros de tu vida, te alejará de los kilos de más y te forjará hábitos saludables que marcarán una senda de salud perdurable.",36000,4.8
940,Positive Psychology ,https://www.coursera.org/learn/positive-psychology,Coursera,health,English,Course,psychology,"This course discusses research findings in the field of positive psychology, conducted by Barbara Fredrickson and her colleagues. It also features practical applications of this science that you can put to use immediately to help you live a full and meaningful life.",39600,4.7
941,Security Principles,https://www.coursera.org/learn/-security-principles,Coursera,information technology,English,Course,security,"Welcome to course 1 of 5 of this Specialization, Security Principles.",18000,4.7
942,Understanding Plants - Part I: What a Plant Knows,https://www.coursera.org/learn/plantknows,Coursera,health,English,Course,science,"For centuries we have collectively marveled at plant diversity and form—from Charles Darwin’s early fascination with stems and flowers to Seymour Krelborn’s distorted doting in Little Shop of Horrors. This course intends to present an intriguing and scientifically valid look at how plants themselves experience the world—from the colors they see to the sensations they feel. Highlighting the latest research in genetics and more, we will delve into the inner lives of plants and draw parallels with the human senses to reveal that we have much more in common with sunflowers and oak trees than we may realize. We’ll learn how plants know up from down, how they know when a neighbor has been infested by a group of hungry beetles, and whether they appreciate the music you’ve been playing for them or if they’re just deaf to the sounds around them. We’ll explore definitions of memory and consciousness as they relate to plants in asking whether we can say that plants might even be aware of their surroundings. This highly interdisciplinary course meshes historical studies with cutting edge modern research and will be relevant to all humans who seek their place in nature. ",39600,4.8
943,Science Literacy ,https://www.coursera.org/learn/science-literacy,Coursera,health,English,Course,science,"Fake news or good science? In a world where we have access to unlimited information, it is hard to sift through the echo chamber of opinions fueled by emotions and personal biases, rather than scientific evidence. Science Literacy will teach you about the process of science, how to think critically, how to differentiate science from pseudoscience, how indigenous wisdom can inform science, how to understand and design a scientific study, and how to critically evaluate scientific communication in the media. Every module will build your new skill-base with real life examples, and at the end of each module you will have to apply these skills to scientific questions, talking points and controversies in the world. Warning: this course requires an open mind and the ability to self-reflect.",79200,4.4
944,Machine Learning Modeling Pipelines in Production,https://www.coursera.org/learn/machine-learning-modeling-pipelines-in-production,Coursera,data science,English,Course,machine learning,"In the third course of Machine Learning Engineering for Production Specialization, you will build models for different serving environments; implement tools and techniques to effectively manage your modeling resources and best serve offline and online inference requests; and use analytics tools and performance metrics to address model fairness, explainability issues, and mitigate bottlenecks.",82800,4.4
945,Design a User Experience for Social Good & Prepare for Jobs,https://www.coursera.org/learn/ux-design-jobs,Coursera,computer science,English,Course,design,"Design a User Experience for Social Good and Prepare for Jobs is the seventh and final course in a program that will equip you with the skills you need to become an entry-level UX designer. In this course, you will design a dedicated mobile app and a responsive website focused on social good. You will showcase all that you’ve learned during the certificate program to complete the design process from beginning to end: empathizing with users, defining their pain points, coming up with ideas for design solutions, creating wireframes and prototypes, and testing designs to get feedback. By the end of this course, you will have a new cross-platform design project to include in your professional UX portfolio. ",223200,4.8
946,Social Impact Strategy: Tools for Entrepreneurs and Innovators,https://www.coursera.org/learn/social-impact,Coursera,business,English,Course,business,"This course offers an introduction to social impact strategy and social entrepreneurship, including key concepts, an overview of the field, and tools to get started as a changemaker. Students will learn how to innovate and design new ideas and new organizational forms to implement those ideas. Students who take this course will be better prepared to launch social impact",25200,4.8
947,The Art of Music Production,https://www.coursera.org/learn/producing-music,Coursera,arts and humanities,English,Course,arts,"Explore the art of record production and how to make recordings that other people will love listening to. This course will teach you how to make emotionally moving recordings on almost any recording equipment, including your phone or laptop. The emphasis is on mastering tangible artistic concepts; the gear you use is up to you. You will learn to develop the most important tool in the recording studio: your ears. You will learn to enhance every aspect of your own productions, both sonically and musically, by employing deeper listening skills. ",50400,4.8
948,Introduction to Risk Management,https://www.coursera.org/learn/introduction-to-risk-management,Coursera,business,English,Course,finance,"What is risk? Why do firms manage risk? In this course, you will be introduced to the different types of business and financial risks, their sources, and best practice methods for measuring risk. This course will help you gauge different risk types and set risk limits, describe the key factors that drive each type of risk, and identify the steps needed to choose probability distributions to estimate risk. You will explore the history and development of risk management as a science, and financial and business trends that have shaped the practice of risk management. By the end of the course, you will have the essential knowledge to measure, assess, and manage risk in your organization. ",57600,4.7
949,Initiating and Planning Projects,https://www.coursera.org/learn/project-planning,Coursera,business,English,Course,leadership and management,The courses in the Introduction to Project Management Principles and Practices Specialization are a recommended precursor to UCI's Applied Project Management Certificate. ,25200,4.7
950,"Custom Models, Layers, and Loss Functions with TensorFlow",https://www.coursera.org/learn/custom-models-layers-loss-functions-with-tensorflow,Coursera,data science,English,Course,machine learning,"In this course, you will:",111600,4.9
951,Algorithmic Toolbox,https://www.coursera.org/learn/algorithmic-toolbox,Coursera,computer science,English,Course,computer science,"This online course covers basic algorithmic techniques and ideas for computational problems arising frequently in practical applications: sorting and searching, divide and conquer, greedy algorithms, dynamic programming. We will learn a lot of theory: how to sort data and how it helps for searching; how to break a large problem into pieces and solve them recursively; when it makes sense to proceed greedily; how dynamic programming is used in genomic studies. You will practice solving computational problems, designing new algorithms, and implementing solutions efficiently (so that they run in less than a second).",144000,4.6
952,Introduction to Computer Vision and Image Processing,https://www.coursera.org/learn/introduction-computer-vision-watson-opencv,Coursera,data science,English,Course,machine learning,"Computer Vision is one of the most exciting fields in Machine Learning and AI. It has applications in many industries, such as self-driving cars, robotics, augmented reality, and much more. In this beginner-friendly course, you will understand computer vision and learn about its various applications across many industries.",75600,4.4
953,Preparing to Manage Human Resources,https://www.coursera.org/learn/managing-human-resources,Coursera,business,English,Course,leadership and management,"One way or another, all employees are managed. But approaches to managing employees varying from employee-to-employee, job-to-job, manager-to-manager, organization-to-organization, and country-to-country. This course provides a foundation for developing your own approach to skillfully managing employees by illustrating alternative human resource management (HRM) strategies, introducing the importance of the legal context, and thinking about what motivates employees. This will then give you the factual and conceptual basis for developing specific, critical HRM skills in subsequent courses on hiring employees, managing performance, and rewarding employees. Don't know anything about HRM? That's OK! Leave this course with a new-found understanding of the range of options available for managing employees, a grasp of what makes workers tick, and the readiness to develop your own HRM skills.",61200,4.8
954,Deploying Machine Learning Models in Production,https://www.coursera.org/learn/deploying-machine-learning-models-in-production,Coursera,data science,English,Course,machine learning,"In the fourth course of Machine Learning Engineering for Production Specialization, you will learn how to deploy ML models and make them available to end-users. You will build scalable and reliable hardware infrastructure to deliver inference requests both in real-time and batch depending on the use case. You will also implement workflow automation and progressive delivery that complies with current MLOps practices to keep your production system running. Additionally,  you will continuously monitor your system to detect model decay, remediate performance drops, and avoid system failures so it can continuously operate at all times.  ",111600,4.6
955,Introduction to Genetics and Evolution,https://www.coursera.org/learn/genetics-evolution,Coursera,health,English,Course,science,"Introduction to Genetics and Evolution is a college-level class being offered simultaneously to new students at Duke University. The course gives interested people a very basic overview of some principles behind these very fundamental areas of biology.  We often hear about new ""genome sequences,"" commercial kits that can tell you about your ancestry (including pre-human) from your DNA or disease predispositions, debates about the truth of evolution, why animals behave the way they do, and how people found ""genetic evidence for natural selection.""  This course provides the basic biology you need to understand all of these issues better, tries to clarify some misconceptions, and tries to prepare students for future, more advanced coursework in Biology (and especially evolutionary genetics).  No prior coursework is assumed.",90000,4.8
956,Rebuilding Our Relationship with Food,https://www.coursera.org/learn/food-relationship-mindful-eating-health,Coursera,health,English,Course,health,"Have you ever made a conscious effort to change the way you eat (for health or other reasons) and then felt frustrated when your plans were derailed? You’re not alone. The best laid plans are often sabotaged by a food environment that makes it increasingly hard to make healthier food choices. This can leave many people feeling mistrustful of food or feeling that our relationship with food is somehow broken. In this course, we’ll explore the history of our changing food environment, the science behind cravings for unhealthy foods AND most importantly, you’ll learn some concrete strategies for rebuilding your relationship with food. You’ll learn to practice mindful eating and self-compassion (proven strategies for supporting healthier food choices) as well as designing a customized plan to protect your relationship with food and improve the health of your greatest asset - you! I can’t wait to start on this adventure together.",28800,4.9
957,Introduction to Web Development,https://www.coursera.org/learn/web-development,Coursera,computer science,English,Course,software development,"This course is designed to start you on a path toward future studies in web development and design, no matter how little experience or technical knowledge you currently have. The web is a very big place, and if you are the typical internet user, you probably visit several websites every day, whether for business, entertainment or education. But have you ever wondered how these websites actually work? How are they built? How do browsers, computers, and mobile devices interact with the web? What skills are necessary to build a website? With almost 1 billion websites now on the internet, the answers to these questions could be your first step toward a better understanding of the internet and developing a new set of internet skills.  ",75600,4.7
958,Cyber Threat Intelligence,https://www.coursera.org/learn/ibm-cyber-threat-intelligence,Coursera,information technology,English,Course,security,This course gives you the background needed to gain Cybersecurity skills as part of the Cybersecurity Security Analyst Professional Certificate program. ,93600,4.7
959,Google Cloud Fundamentals: Core Infrastructure,https://www.coursera.org/learn/gcp-fundamentals,Coursera,information technology,English,Course,cloud computing,"Google Cloud Fundamentals: Core Infrastructure introduces important concepts and terminology for working with Google Cloud. Through videos and hands-on labs, this course presents and compares many of Google Cloud's computing and storage services, along with important resource and policy management tools.",28800,4.7
